scrittore,3,http://www.wikidata.org/entity/Q36180,chiunque crei un lavoro scritto
lettore,2,http://www.wikidata.org/entity/Q1433533,persona preposta a leggere le sacre scritture durante la liturgia in assenza del diacono
libraio,1,http://www.wikidata.org/entity/Q998550,professione
scultore,27,http://www.wikidata.org/entity/Q1281618,artista che pratica l'arte della scultura
capo,6,http://www.wikidata.org/entity/Q59260362,posizione all'interno di una organizzazione
affarista,1,http://www.wikidata.org/entity/Q43845,persona dedita ad attività commerciali o industriali allo scopo di generare entrate
medicina,4,http://www.wikidata.org/entity/Q11190,scienza che si occupa della salute delle persone
letterato,4,http://www.wikidata.org/entity/Q6673651,chi lavora in letteratura
fotografo,2,http://www.wikidata.org/entity/Q33231,Persona che produce fotografie
pittore,3,http://www.wikidata.org/entity/Q1028181,artista che pratica l'arte della pittura
confessore,1,http://www.wikidata.org/entity/Q21500210,sacerdote che riceve la confessione dei fedeli
scienziato,2,http://www.wikidata.org/entity/Q901,persona che è esperta in un campo della scienza
sarto,9,http://www.wikidata.org/entity/Q242468,professione di chi confeziona
soldato,2,http://www.wikidata.org/entity/Q4991371,persona che si è arruolata nelle forze armate di un paese sovrano
astronomo,2,http://www.wikidata.org/entity/Q11063,scienziato che studia i corpi e i fenomeni esterni all'atmosfera terrestre
comico,1,http://www.wikidata.org/entity/Q245068,artista professionale che racconta barzellette e compie atti divertenti
re,1,http://www.wikidata.org/entity/Q12097,Persone importanti che comandano il popolo
accademico,1,http://www.wikidata.org/entity/Q3400985,membro di una università o centro di ricerca
spia,2,http://www.wikidata.org/entity/Q9352089,Soggetto atto a praticare l'attività di spionaggio per conto di agenzie governative
naturalista,1,http://www.wikidata.org/entity/Q18805,Scienziato o amatore che si occupa di argomenti riguardanti le scienze naturali
giudice,1,http://www.wikidata.org/entity/Q3502546,persona che sovraintende allo svolgimento di un match o un torneo di tennis
avvocato,1,http://www.wikidata.org/entity/Q21272499,in Italia
modello,3,http://www.wikidata.org/entity/Q4610556,professione
parrucchiere,1,http://www.wikidata.org/entity/Q55187,professione
portinaio,1,http://www.wikidata.org/entity/Q1650716,lavoratore adibito alla cura e custodia di un edificio residenziale
marinaio,3,http://www.wikidata.org/entity/Q10989378,membro della sezione di coperta di una nave mercantile
cassiere,1,http://www.wikidata.org/entity/Q1735282,profesione
